Date,Close,Search_Interest
2025-01-13,403.30999755859375,19.0
2025-01-14,396.3599853515625,19.0
2025-01-15,428.2200012207031,19.0
2025-01-16,413.82000732421875,19.0
2025-01-17,426.5,19.0
2025-01-21,424.07000732421875,22.0
2025-01-22,415.1099853515625,22.0
2025-01-23,412.3800048828125,22.0
2025-01-24,406.5799865722656,22.0
2025-01-27,397.1499938964844,25.0
2025-01-28,398.0899963378906,25.0
2025-01-29,389.1000061035156,25.0
2025-01-30,400.2799987792969,25.0
2025-01-31,404.6000061035156,25.0
2025-02-03,383.67999267578125,24.0
2025-02-04,392.2099914550781,24.0
2025-02-05,378.1700134277344,24.0
2025-02-06,374.32000732421875,24.0
2025-02-07,361.6199951171875,24.0
2025-02-10,350.7300109863281,26.0
2025-02-11,328.5,26.0
2025-02-12,336.510009765625,26.0
2025-02-13,355.94000244140625,26.0
2025-02-14,355.8399963378906,26.0
2025-02-18,354.1099853515625,19.0
2025-02-19,360.55999755859375,19.0
2025-02-20,354.3999938964844,19.0
2025-02-21,337.79998779296875,19.0
2025-02-24,330.5299987792969,37.0
2025-02-25,302.79998779296875,37.0
2025-02-26,290.79998779296875,37.0
2025-02-27,281.95001220703125,37.0
2025-02-28,292.9800109863281,37.0
2025-03-03,284.6499938964844,47.0
2025-03-04,272.0400085449219,47.0
2025-03-05,279.1000061035156,47.0
2025-03-06,263.45001220703125,47.0
2025-03-07,262.6700134277344,47.0
2025-03-10,222.14999389648438,100.0
2025-03-11,230.5800018310547,100.0
2025-03-12,248.08999633789062,100.0
2025-03-13,240.67999267578125,100.0
2025-03-14,249.97999572753906,100.0
2025-03-17,238.00999450683594,94.0
2025-03-18,225.30999755859375,94.0
2025-03-19,235.86000061035156,94.0
2025-03-20,236.25999450683594,94.0
2025-03-21,248.7100067138672,94.0
2025-03-24,278.3900146484375,64.0
2025-03-25,288.1400146484375,64.0
2025-03-26,272.05999755859375,64.0
2025-03-27,273.1300048828125,64.0
2025-03-28,263.54998779296875,64.0
2025-03-31,259.1600036621094,78.0
2025-04-01,268.4599914550781,78.0
2025-04-02,282.760009765625,78.0
2025-04-03,267.2799987792969,78.0
2025-04-04,239.42999267578125,78.0
2025-04-07,233.2899932861328,73.0
2025-04-08,221.86000061035156,73.0
2025-04-09,272.20001220703125,73.0
2025-04-10,252.39999389648438,73.0
2025-04-11,252.30999755859375,73.0
2025-04-14,252.35000610351562,31.0
2025-04-15,254.11000061035156,31.0
2025-04-16,241.5500030517578,31.0
2025-04-17,241.3699951171875,31.0
2025-04-21,227.5,46.0
2025-04-22,237.97000122070312,46.0
2025-04-23,250.74000549316406,46.0
2025-04-24,259.510009765625,46.0
2025-04-25,284.95001220703125,46.0
2025-04-28,285.8800048828125,30.0
2025-04-29,292.0299987792969,30.0
2025-04-30,282.1600036621094,30.0
2025-05-01,280.5199890136719,30.0
2025-05-02,287.2099914550781,30.0
2025-05-05,280.260009765625,24.0
2025-05-06,275.3500061035156,24.0
2025-05-07,276.2200012207031,24.0
2025-05-08,284.82000732421875,24.0
2025-05-09,298.260009765625,24.0
2025-05-12,318.3800048828125,27.0
2025-05-13,334.07000732421875,27.0
2025-05-14,347.67999267578125,27.0
2025-05-15,342.82000732421875,27.0
2025-05-16,349.9800109863281,27.0
2025-05-19,342.0899963378906,22.0
2025-05-20,343.82000732421875,22.0
2025-05-21,334.6199951171875,22.0
2025-05-22,341.0400085449219,22.0
2025-05-23,339.3399963378906,22.0
2025-05-27,362.8900146484375,20.0
2025-05-28,356.8999938964844,20.0
2025-05-29,358.42999267578125,20.0
2025-05-30,346.4599914550781,20.0
2025-06-02,342.69000244140625,46.0
2025-06-03,344.2699890136719,46.0
2025-06-04,332.04998779296875,46.0
2025-06-05,284.70001220703125,46.0
2025-06-06,295.1400146484375,46.0
2025-06-09,308.5799865722656,29.0
2025-06-10,326.0899963378906,29.0
2025-06-11,326.42999267578125,29.0
2025-06-12,319.1099853515625,29.0
2025-06-13,325.30999755859375,29.0
2025-06-16,329.1300048828125,18.0
2025-06-17,316.3500061035156,18.0
2025-06-18,322.04998779296875,18.0
2025-06-20,322.1600036621094,18.0
2025-06-23,348.67999267578125,23.0
2025-06-24,340.4700012207031,23.0
2025-06-25,327.54998779296875,23.0
2025-06-26,325.7799987792969,23.0
2025-06-27,323.6300048828125,23.0
2025-06-30,317.6600036621094,21.0
2025-07-01,300.7099914550781,21.0
2025-07-02,315.6499938964844,21.0
2025-07-03,315.3500061035156,21.0
2025-07-07,293.94000244140625,24.0
2025-07-08,297.80999755859375,24.0
2025-07-09,295.8800048828125,24.0
2025-07-10,309.8699951171875,24.0
2025-07-11,313.510009765625,24.0
2025-07-14,316.8999938964844,18.0
2025-07-15,310.7799987792969,18.0
2025-07-16,321.6700134277344,18.0
2025-07-17,319.4100036621094,18.0
2025-07-18,329.6499938964844,18.0
2025-07-21,328.489990234375,24.0
2025-07-22,332.1099853515625,24.0
2025-07-23,332.55999755859375,24.0
2025-07-24,305.29998779296875,24.0
2025-07-25,316.05999755859375,24.0
2025-07-28,325.5899963378906,21.0
2025-07-29,321.20001220703125,21.0
2025-07-30,319.0400085449219,21.0
2025-07-31,308.2699890136719,21.0
2025-08-01,302.6300048828125,21.0
2025-08-04,309.260009765625,22.0
2025-08-05,308.7200012207031,22.0
2025-08-06,319.9100036621094,22.0
2025-08-07,322.2699890136719,22.0
2025-08-08,329.6499938964844,22.0
2025-08-11,339.0299987792969,24.0
2025-08-12,340.8399963378906,24.0
2025-08-13,339.3800048828125,24.0
2025-08-14,335.5799865722656,24.0
2025-08-15,330.55999755859375,24.0
2025-08-18,335.1600036621094,20.0
2025-08-19,329.30999755859375,20.0
2025-08-20,323.8999938964844,20.0
2025-08-21,320.1099853515625,20.0
2025-08-22,340.010009765625,20.0
2025-08-25,346.6000061035156,20.0
2025-08-26,351.6700134277344,20.0
2025-08-27,349.6000061035156,20.0
2025-08-28,345.9800109863281,20.0
2025-08-29,333.8699951171875,20.0
2025-09-02,329.3599853515625,16.0
2025-09-03,334.0899963378906,16.0
2025-09-04,338.5299987792969,16.0
2025-09-05,350.8399963378906,16.0
2025-09-08,346.3999938964844,21.0
2025-09-09,346.9700012207031,21.0
2025-09-10,347.7900085449219,21.0
2025-09-11,368.80999755859375,21.0
2025-09-12,395.94000244140625,21.0
2025-09-15,410.0400085449219,27.0
2025-09-16,421.6199951171875,27.0
2025-09-17,425.8599853515625,27.0
2025-09-18,416.8500061035156,27.0
2025-09-19,426.07000732421875,27.0
2025-09-22,434.2099914550781,21.0
2025-09-23,425.8500061035156,21.0
2025-09-24,442.7900085449219,21.0
2025-09-25,423.3900146484375,21.0
2025-09-26,440.3999938964844,21.0
2025-09-29,443.2099914550781,24.0
2025-09-30,444.7200012207031,24.0
2025-10-01,459.4599914550781,24.0
2025-10-02,436.0,24.0
2025-10-03,429.8299865722656,24.0
2025-10-06,453.25,22.0
2025-10-07,433.0899963378906,22.0
2025-10-08,438.69000244140625,22.0
2025-10-09,435.5400085449219,22.0
2025-10-10,413.489990234375,22.0
2025-10-13,435.8999938964844,17.0
2025-10-14,429.239990234375,17.0
2025-10-15,435.1499938964844,17.0
2025-10-16,428.75,17.0
2025-10-17,439.30999755859375,17.0
2025-10-20,447.42999267578125,20.0
2025-10-21,442.6000061035156,20.0
2025-10-22,438.9700012207031,20.0
2025-10-23,448.9800109863281,20.0
2025-10-24,433.7200012207031,20.0
2025-10-27,452.4200134277344,18.0
2025-10-28,460.54998779296875,18.0
2025-10-29,461.510009765625,18.0
2025-10-30,440.1000061035156,18.0
2025-10-31,456.55999755859375,18.0
2025-11-03,468.3699951171875,20.0
